profile,scenario,rs,beta,tau,mod,ber,gmi,gmi_max,evm,snr_db
MEGA,no_echo,1500.0,0.2,0.9375,16-APSK,0.223116,0.3896,4,0.2808,8.069
MEGA,faint_far,1500.0,0.2,0.9375,16-APSK,0.215411,0.8453,4,0.2876,8.311
MEGA,moderate,1500.0,0.2,0.9375,16-APSK,0.105993,2.5184,4,0.2618,9.052
MEGA,strong_near,1500.0,0.2,0.9375,16-APSK,0.167637,1.6867,4,0.2739,8.032
MEGA,capture_hostile,1500.0,0.2,0.9375,16-APSK,0.164041,1.8989,4,0.2767,6.702
MEGA,dual_echo,1500.0,0.2,0.9375,16-APSK,0.133904,2.2159,4,0.2733,8.078
HIGH,no_echo,1500.0,0.2,1.0000,16-APSK,0.027740,3.5364,4,0.2133,13.755
HIGH,faint_far,1500.0,0.2,1.0000,16-APSK,0.034760,3.3957,4,0.2223,13.824
HIGH,moderate,1500.0,0.2,1.0000,16-APSK,0.088527,2.3446,4,0.2329,12.043
HIGH,strong_near,1500.0,0.2,1.0000,16-APSK,0.127397,1.6837,4,0.2382,10.920
HIGH,capture_hostile,1500.0,0.2,1.0000,16-APSK,0.100171,2.5706,4,0.2498,10.417
HIGH,dual_echo,1500.0,0.2,1.0000,16-APSK,0.064041,3.0050,4,0.2347,11.872
NORMAL,no_echo,1500.0,0.2,1.0000,8PSK,0.003881,2.9496,3,0.2068,14.320
NORMAL,faint_far,1500.0,0.2,1.0000,8PSK,0.007306,2.9234,3,0.2150,14.021
NORMAL,moderate,1500.0,0.2,1.0000,8PSK,0.005936,2.9263,3,0.2181,13.614
NORMAL,strong_near,1500.0,0.2,1.0000,8PSK,0.006621,2.9143,3,0.2196,13.492
NORMAL,capture_hostile,1500.0,0.2,1.0000,8PSK,0.032648,2.5741,3,0.2777,11.291
NORMAL,dual_echo,1500.0,0.2,1.0000,8PSK,0.013699,2.8493,3,0.2406,12.502
ROBUST,no_echo,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1599,16.372
ROBUST,faint_far,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1707,16.012
ROBUST,moderate,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1724,16.166
ROBUST,strong_near,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1763,15.850
ROBUST,capture_hostile,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.2155,14.238
ROBUST,dual_echo,1000.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1999,14.915
ULTRA,no_echo,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1214,19.198
ULTRA,faint_far,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1218,18.917
ULTRA,moderate,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1286,18.790
ULTRA,strong_near,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1308,18.818
ULTRA,capture_hostile,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1302,18.388
ULTRA,dual_echo,500.0,0.25,1.0000,QPSK,0.000000,2.0000,2,0.1395,17.711
