start_s,end_s,label
0.0000,1.0000,silence_start
1.0000,3.0000,pilot_1000Hz
3.0000,3.5000,gap
3.5000,8.5000,multitone_0_+0dB
8.5000,9.0000,gap
9.0000,14.0000,multitone_1_-2dB
14.0000,14.5000,gap
14.5000,19.5000,multitone_2_-4dB
19.5000,20.0000,gap
20.0000,25.0000,multitone_3_-6dB
25.0000,25.5000,gap
25.5000,30.5000,multitone_4_-8dB
30.5000,31.0000,gap
31.0000,36.0000,multitone_5_-10dB
36.0000,36.5000,gap
36.5000,41.5000,multitone_6_-12dB
41.5000,42.0000,gap
42.0000,47.0000,multitone_7_-14dB
47.0000,47.5000,gap
47.5000,52.5000,multitone_8_-16dB
52.5000,53.0000,gap
53.0000,58.0000,multitone_9_-18dB
58.0000,58.5000,gap
58.5000,63.5000,multitone_10_-20dB
63.5000,64.0000,gap
64.0000,66.0000,pilot_end_1000Hz
66.0000,67.0000,silence_end
