# freq_hz,amplitude,gain_db,snr_db
100.000000,0.000012,-66.462026,-64.003127
150.000000,0.000011,-66.876606,-64.417707
200.000000,0.000016,-64.058868,-61.599969
250.000000,0.000016,-63.747898,-61.288999
300.000000,0.019475,-2.266456,0.192443
350.000000,0.018861,-2.544488,-0.085589
400.000000,0.021414,-1.441892,1.017007
450.000000,0.018654,-2.640548,-0.181649
500.000000,0.023568,-0.609620,1.849279
550.000000,0.020697,-1.737808,0.721091
600.000000,0.020980,-1.619986,0.838913
650.000000,0.020544,-1.802071,0.656828
700.000000,0.025281,0.000000,2.458899
750.000000,0.021323,-1.479103,0.979796
800.000000,0.021774,-1.297362,1.161537
850.000000,0.021740,-1.310898,1.148001
900.000000,0.019634,-2.195685,0.263214
950.000000,0.022501,-1.011984,1.446915
1000.000000,0.022089,-1.172316,1.286583
1050.000000,0.021453,-1.426356,1.032543
1100.000000,0.019750,-2.144594,0.314305
1150.000000,0.022610,-0.969884,1.489015
1200.000000,0.022937,-0.845319,1.613580
1250.000000,0.020225,-1.938278,0.520621
1300.000000,0.020494,-1.823451,0.635448
1350.000000,0.018656,-2.639419,-0.180520
1400.000000,0.020459,-1.838282,0.620617
1450.000000,0.021222,-1.520364,0.938535
1500.000000,0.018549,-2.689390,-0.230491
1550.000000,0.019007,-2.477504,-0.018605
1600.000000,0.020054,-2.012074,0.446825
1650.000000,0.019347,-2.323699,0.135199
1700.000000,0.015736,-4.117968,-1.659069
1750.000000,0.019212,-2.384668,0.074231
1800.000000,0.018345,-2.785653,-0.326754
1850.000000,0.017460,-3.215316,-0.756417
1900.000000,0.016669,-3.617973,-1.159075
1950.000000,0.016832,-3.533393,-1.074494
2000.000000,0.016531,-3.689952,-1.231053
2050.000000,0.015159,-4.442345,-1.983446
2100.000000,0.015533,-4.231046,-1.772147
2150.000000,0.013753,-5.288001,-2.829102
2200.000000,0.015663,-4.158514,-1.699615
2250.000000,0.014522,-4.815222,-2.356323
2300.000000,0.015762,-4.103540,-1.644641
2350.000000,0.014042,-5.107206,-2.648307
2400.000000,0.014369,-4.907169,-2.448270
2450.000000,0.012145,-6.368057,-3.909158
2500.000000,0.012533,-6.094578,-3.635679
2550.000000,0.012901,-5.843477,-3.384578
2600.000000,0.011447,-6.882485,-4.423586
2650.000000,0.010308,-7.792509,-5.333610
2700.000000,0.010709,-7.460705,-5.001806
2750.000000,0.009613,-8.398466,-5.939568
2800.000000,0.010730,-7.443833,-4.984934
2850.000000,0.009024,-8.947609,-6.488710
2900.000000,0.008305,-9.669253,-7.210354
2950.000000,0.007389,-10.684794,-8.225895
3000.000000,0.007784,-10.232167,-7.773268
3050.000000,0.007264,-10.832254,-8.373355
3100.000000,0.006551,-11.729860,-9.270961
3150.000000,0.005990,-12.508013,-10.049114
3200.000000,0.006285,-12.090364,-9.631465
3250.000000,0.005230,-13.685581,-11.226682
3300.000000,0.005753,-12.858228,-10.399329
3350.000000,0.004587,-14.826001,-12.367102
3400.000000,0.004814,-14.406513,-11.947614
3450.000000,0.004501,-14.989724,-12.530825
3500.000000,0.004720,-14.577773,-12.118874
3550.000000,0.003762,-16.548479,-14.089580
3600.000000,0.003289,-17.714578,-15.255679
3650.000000,0.003195,-17.965829,-15.506930
3700.000000,0.002663,-19.547088,-17.088189
3750.000000,0.002474,-20.189331,-17.730432
3800.000000,0.002685,-19.478440,-17.019541
3850.000000,0.002155,-21.387406,-18.928507
3900.000000,0.002235,-21.070927,-18.612028
3950.000000,0.001483,-24.635755,-22.176856
4000.000000,0.001875,-22.598230,-20.139331
